Season,Round,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League
2018-2019,Matchweek 1,1,0,2,,,,,,,13,,,1,,,0,Premier_league
2018-2019,Matchweek 1,1,1,0,,,,,,,1,,,13,,,1,Premier_league
2018-2019,Matchweek 1,1,0,2,,,,,,,13,,,1,,,0,Premier_league
2018-2019,Matchweek 1,1,0,3,,,,,,,13,,,1,,,0,Premier_league
2018-2019,Matchweek 1,1,4,0,,,,,,,1,,,13,,,1,Premier_league
2018-2019,Matchweek 1,1,2,1,,,,,,,1,,,13,,,1,Premier_league
2018-2019,Matchweek 1,1,1,2,,,,,,,13,,,1,,,0,Premier_league
2018-2019,Matchweek 1,1,2,0,,,,,,,1,,,13,,,1,Premier_league
2018-2019,Matchweek 2,2,3,2,-2,-1,-5,-10,-129,-1.3,8,0,,8,3,,1,Premier_league
2018-2019,Matchweek 2,2,1,3,-2,-3,1,-8,12,0.2,12,1,,1,3,,0,Premier_league
2018-2019,Matchweek 2,2,3,2,3,3,0,-10,261,1.6,1,3,,17,0,,1,Premier_league
2018-2019,Matchweek 2,2,0,2,-2,-6,2,3,-289,-3,8,3,,1,3,,0,Premier_league
2018-2019,Matchweek 2,2,2,1,2,-9,2,10,74,0,7,1,,12,1,,1,Premier_league
2018-2019,Matchweek 2,2,1,0,-1,1,0,1,-20,0.7,8,0,,12,1,,1,Premier_league
2018-2019,Matchweek 2,2,5,1,2,11,7,-19,169,1.5,1,3,,17,0,,1,Premier_league
2018-2019,Matchweek 2,2,3,1,2,0,-1,-1,-80,1.4,1,3,,17,0,,1,Premier_league
2018-2019,Matchweek 2,2,0,2,-1,-6,0,12,-135,-1.3,17,0,,1,3,,0,Premier_league
2018-2019,Matchweek 3,3,2,0,1,7,2,-3.5,-3.5,1.1,9,0,0,20,0,0,1,Premier_league
2018-2019,Matchweek 3,3,4,2,0,0.5,0,7,116,0.2,9,0,0,17,0.5,1,1,Premier_league
2018-2019,Matchweek 3,3,1,0,1.5,11,5.5,-1.5,314,2.4,1,3,3,9,1.5,0,1,Premier_league
2018-2019,Matchweek 3,3,0,3,-0.5,-12.5,-4.5,0,-78.5,-1.1,9,1.5,3,1,3,3,0,Premier_league
2018-2019,Matchweek 3,3,0,2,-0.5,7,0.5,-8,-177,0.5,17,0.5,1,7,1.5,0,0,Premier_league
2018-2019,Matchweek 3,3,2,1,1.5,4,-0.5,0,17,0.7,1,3,3,9,1.5,3,1,Premier_league
2018-2019,Matchweek 4,4,0,2,-0.3,-0.7,-0.3,-1,-135.7,-0.4,19,0.33333333333333331,0,7,1,0,0,Premier_league
2018-2019,Matchweek 4,4,2,3,-1.3,-1.7,-4.6,4,-124.6,-0.4,16,0.66666666666666663,1,7,1,0,0,Premier_league
2018-2019,Matchweek 4,4,2,0,0.6,5.4,2,2.3,386.3,0,3,2.3333333333333335,3,6,2.3333333333333335,3,1,Premier_league
2018-2019,Matchweek 4,4,0,2,0.7,-4.6,1.3,5.6,64,-0.2,15,1,0,12,0.33333333333333331,0,0,Premier_league
2018-2019,Matchweek 4,4,1,2,-1,-9.6,-3,-3.4,-229,-2,7,2,3,1,3,3,0,Premier_league
2018-2019,Matchweek 4,4,2,1,2,11.6,6.3,-9,338,1.5,3,2.3333333333333335,3,16,0.66666666666666663,1,1,Premier_league
2018-2019,Matchweek 4,4,2,0,-0.4,-2.6,-1.7,0.4,-178.4,-1,1,3,3,5,3,3,1,Premier_league
2018-2019,Matchweek 4,4,0,1,-1,-5,0,2,-79.3,-0.6,20,0,0,11,0.66666666666666663,0,0,Premier_league
2018-2019,Matchweek 5,5,4,1,1.8,6,3.5,-4.5,441.3,0.4,2,2.5,3,17,0.5,0.5,1,Premier_league
2018-2019,Matchweek 5,5,1,2,1.8,3.5,1.5,0,44.8,0.5,11,1.5,2,16,0,0,0,Premier_league
2018-2019,Matchweek 5,5,0,1,-0.3,-6,-3,3.5,-90,-0.9,17,0.5,0.5,11,0.75,1.5,0,Premier_league
2018-2019,Matchweek 5,5,3,0,0.7,7.8,2.5,-8.2,131.2,1.1,2,2.5,3,15,1,0.5,1,Premier_league
2018-2019,Matchweek 5,5,1,2,-1,-5.7,-4.7,0.8,-201,-0.7,17,0.5,0.5,5,1.5,1.5,0,Premier_league
2018-2019,Matchweek 5,5,1,2,-0.3,-1.3,-0.2,1,-85.8,-0.6,5,2.25,3,1,3,3,0,Premier_league
2018-2019,Matchweek 5,5,1,2,0.8,-2.5,-0.2,5.5,-168.5,-0.7,4,3,3,5,1.5,1.5,0,Premier_league
2018-2019,Matchweek 5,5,1,0,0.2,0.7,0.2,4.3,65.5,0.1,8,1.25,1,20,0.25,0.5,1,Premier_league
2018-2019,Matchweek 6,6,2,0,0.2,1.8,2.4,-4.4,68.6,0.4,5,1.8,1.5,12,1.2,1,1,Premier_league
2018-2019,Matchweek 6,6,1,2,-0.4,-6.6,-3.2,0,-187.4,-0.3,13,1,2,5,1.8,2,0,Premier_league
