Season,Round,Home Side,Away Side,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,Season_odds,League_odds,Home,Away,Predicted,Certainty
2023-2024,Matchweek 6,Cagliari,Milan,6.0,1,3,-1.8,-0.6,-2.6,2.6,-114.4,-0.8,19,0.4,0.8,1,2.4,1.8,0,Serie_A,I1,2023-09-27,Cagliari,Milan,1,3,A,1,2,A,16,17,6,6,13,6,3,5,3,1,0,0,5.25,3.8,1.67,5.25,3.9,1.65,5.5,3.9,1.63,5.46,3.96,1.68,5.5,3.5,1.53,5.75,3.7,1.62,4.73,3.43,1.92,2023-2024,Seria_A,Cagliari,Milan,0,0.07193595755652206
2023-2024,Matchweek 6,Empoli,Salernitana,6.0,2,0,-0.8,-1.0,-1.2,-1.8,-81.8,-0.2,17,0.0,0.6,19,0.4,0.2,1,Serie_A,I1,2023-09-27,Empoli,Salernitana,1,0,H,1,0,H,13,14,6,2,18,13,10,2,2,1,0,0,2.3,3.3,3.2,2.3,3.3,3.1,2.3,3.3,3.15,2.41,3.22,3.31,2.1,3.2,3.0,2.3,3.13,3.25,2.8,3.19,2.85,2023-2024,Seria_A,Empoli,Salernitana,1,0.8329818598446203
2023-2024,Matchweek 6,Frosinone,Fiorentina,6.0,1,1,-0.6,1.2,-1.4,-0.6,-94.4,0.6,10,1.2,1.0,5,2.0,2.0,0,Serie_A,I1,2023-09-28,Frosinone,Fiorentina,1,1,D,0,1,A,11,19,3,6,6,11,8,10,3,3,0,0,3.75,3.6,1.95,3.5,3.6,2.0,3.6,3.6,2.0,3.78,3.67,2.03,3.4,3.4,1.85,3.8,3.25,1.9,3.97,3.65,2.01,2023-2024,Seria_A,Frosinone,Fiorentina,0,0.49009619430635487
2023-2024,Matchweek 6,Genoa,Roma,6.0,4,1,-1.8,-9.8,-3.2,1.4,-214.6,-1.5,10,0.8,1.4,15,1.2,0.4,1,Serie_A,I1,2023-09-28,Genoa,Roma,4,1,H,2,1,H,8,13,4,3,7,12,1,7,4,3,0,0,3.8,3.25,2.05,3.6,3.2,2.15,3.65,3.25,2.15,3.85,3.31,2.14,3.3,3.0,2.05,3.9,2.9,2.0,4.1,3.24,2.13,2023-2024,Seria_A,Genoa,Roma,1,0.8281745022570834
2023-2024,Matchweek 6,Hellas Verona,Atalanta,6.0,0,1,-1.2,-2.8,-2.4,5.6,-29.6,-0.7,10,1.4,1.4,3,2.0,0.8,0,Serie_A,I1,2023-09-27,Verona,Atalanta,0,1,A,0,1,A,11,8,2,2,10,25,4,1,2,3,0,0,4.2,3.75,1.83,4.33,3.75,1.78,4.3,3.7,1.83,4.63,3.78,1.82,4.2,3.5,1.67,4.6,3.6,1.8,4.48,3.66,1.9,2023-2024,Seria_A,Hellas Verona,Atalanta,0,0.2471444645695323
2023-2024,Matchweek 6,Inter,Sassuolo,6.0,1,2,1.2,5.4,0.6,3.2,76.2,1.3,1,3.0,3.0,9,1.2,0.6,0,Serie_A,I1,2023-09-27,Inter,Sassuolo,1,2,A,1,0,H,13,13,3,6,10,8,8,6,0,1,0,0,1.33,5.5,8.0,1.35,5.5,8.0,1.33,5.5,8.0,1.32,5.99,9.3,1.25,5.0,8.0,1.29,5.5,10.0,1.28,6.79,9.97,2023-2024,Seria_A,Inter,Sassuolo,1,0.8726812551009028
2023-2024,Matchweek 6,Juventus,Lecce,6.0,1,0,0.4,0.2,0.0,0.0,69.6,0.7,3,2.0,2.0,5,2.2,1.2,1,Serie_A,I1,2023-09-26,Juventus,Lecce,1,0,H,0,0,D,14,2,5,0,14,15,5,1,2,5,0,1,1.5,4.2,7.0,1.5,4.2,6.75,1.5,4.2,7.0,1.52,4.31,7.27,1.4,3.9,6.5,1.44,4.1,8.0,1.52,4.26,7.26,2023-2024,Seria_A,Juventus,Lecce,1,0.725105135037251
2023-2024,Matchweek 6,Lazio,Torino,6.0,2,0,-0.4,-1.8,-0.8,1.6,114.2,-0.1,10,0.8,1.6,8,2.0,2.4,1,Serie_A,I1,2023-09-27,Lazio,Torino,2,0,H,0,0,D,6,7,3,2,12,13,4,2,1,4,0,0,2.15,3.25,3.5,2.1,3.3,3.6,2.2,3.3,3.45,2.17,3.37,3.7,2.0,3.0,3.4,2.1,3.13,3.75,2.31,3.27,3.54,2023-2024,Seria_A,Lazio,Torino,1,0.6343577074510712
2023-2024,Matchweek 6,Monza,Bologna,6.0,0,0,0.2,4.8,-0.8,2.0,2.6,0.3,15,1.0,1.6,10,1.2,1.8,0,Serie_A,I1,2023-09-28,Monza,Bologna,0,0,D,0,0,D,12,7,3,5,9,13,7,5,5,3,0,1,2.38,3.3,3.0,2.37,3.4,2.95,2.4,3.35,3.0,2.49,3.35,3.06,2.3,3.1,2.7,2.3,3.0,3.0,2.31,3.45,3.35,2023-2024,Seria_A,Monza,Bologna,0,0.3952487399635792
2023-2024,Matchweek 6,Napoli,Udinese,6.0,4,1,1.4,2.4,-0.4,2.6,163.4,0.6,5,1.6,2.4,17,0.6,0.4,1,Serie_A,I1,2023-09-27,Napoli,Udinese,4,1,H,2,0,H,23,13,10,3,11,10,8,4,1,1,0,0,1.36,5.0,8.5,1.35,5.25,8.25,1.4,4.9,7.5,1.39,5.16,8.46,1.29,4.6,7.5,1.33,4.8,9.5,1.43,5.07,7.42,2023-2024,Seria_A,Napoli,Udinese,1,0.7934213439771245
