home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
0,2,,,,,,,13,1,,,
1,0,,,,,,,1,13,,,
0,2,,,,,,,13,1,,,
0,3,,,,,,,13,1,,,
4,0,,,,,,,1,13,,,
2,1,,,,,,,1,13,,,
1,2,,,,,,,13,1,,,
0,0,,,,,,,9,9,,,
2,0,,,,,,,1,13,,,
2,2,,,,,,,9,9,,,
3,2,-2,-1,-5,-10,-129,-1.3,8,8,-3,,
1,3,-2,-3,1,-8,12,0.2,12,1,-2,,
0,0,-1,-5,-1,8,-104,0.5,12,12,0,,
3,2,3,3,0,-10,261,1.6,1,17,3,,
0,2,-2,-6,2,3,-289,-3,8,1,0,,
2,1,2,-9,2,10,74,0,7,12,0,,
1,0,-1,1,0,1,-20,0.7,8,12,-1,,
5,1,2,11,7,-19,169,1.5,1,17,3,,
3,1,2,0,-1,-1,-80,1.4,1,17,3,,
0,2,-1,-6,0,12,-135,-1.3,17,1,-3,,
2,0,1,7,2,-3.5,-3.5,1.1,9,20,0,,
2,2,-0.5,-0.5,-2.5,-10,-36,0.3,4,8,1,,
4,2,0,0.5,0,7,116,0.2,9,17,-0.5,,
0,0,0.5,-5.5,0.5,-1.5,-46.5,-0.7,17,14,-0.5,,
1,0,1.5,11,5.5,-1.5,314,2.4,1,9,1.5,,
0,3,-0.5,-12.5,-4.5,0,-78.5,-1.1,9,1,-1.5,,
1,1,-2.5,-5,-3.5,-1,-312.5,-0.4,14,4,-2.5,,
0,2,-0.5,7,0.5,-8,-177,0.5,17,7,-1,,
2,1,1.5,4,-0.5,0,17,0.7,1,9,1.5,,
1,1,-2.5,-13.5,-8,10,-105,-1.9,14,4,-2.5,,
2,2,-0.7,-11,-5.7,5.3,-220,-0.3,12,12,0,3,0
0,2,-0.3,-0.7,-0.3,-1,-135.7,-0.4,19,7,-0.66666666666666674,-3,1
2,3,-1.3,-1.7,-4.6,4,-124.6,-0.4,16,7,-0.33333333333333337,1,0
2,0,0.6,5.4,2,2.3,386.3,0,3,6,0,0,0
0,2,0.7,-4.6,1.3,5.6,64,-0.2,15,12,0.66666666666666674,-1,3
1,1,1.7,5.4,4,2.4,101.4,0.7,7,16,1.3333333333333335,3,1
1,2,-1,-9.6,-3,-3.4,-229,-2,7,1,-1,0,-3
2,1,2,11.6,6.3,-9,338,1.5,3,16,1.666666666666667,3,2
2,0,-0.4,-2.6,-1.7,0.4,-178.4,-1,1,5,0,,
